"","fulcrum_id","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo"
"11","3c08cbb3-c284-4bb3-a304-823d04af0a6e","8322e922-3871-46bf-a73c-2fc4985876ba","Bag01",21:09:00,18.3,"Tree/Log/Bush (Lower than 1m)",17.5,"67a45464-e3d2-4e15-b70e-716dda775401"
"12","125258d2-62db-489a-b4f9-3b36698d3404","8322e922-3871-46bf-a73c-2fc4985876ba","Bag04",21:12:00,18,"Water",17.9,"68778835-4137-4a3a-8300-3fdcfbca25a7"
"13","2a4da878-de3a-410f-b518-0b936bc98a54","8322e922-3871-46bf-a73c-2fc4985876ba","Bag07",21:17:00,18.2,"Water",18.2,"749377f6-be1b-41b1-855f-17048f501de4"
"14","70f2f7d5-d0a0-42c8-b3f3-87251b50c5aa","8322e922-3871-46bf-a73c-2fc4985876ba","Bag10",21:21:00,18.2,"Water",18.3,"aa20fbe1-d1d2-4a84-a8cb-921132a752d0"
"15","47d44b03-88c2-4204-86c3-def426b50633","8322e922-3871-46bf-a73c-2fc4985876ba","Bag08",21:25:00,18.1,"Water",18,"c01ce459-70f0-42ce-8202-034604010ce0"
"16","492083bf-770d-4ada-85d7-9da13a21d361","8322e922-3871-46bf-a73c-2fc4985876ba","Bag05",21:28:00,18.3,"Water",18.3,"3d702528-f451-4c1d-88e5-2f8c87a918ac"
"17","7fce6149-2af8-4bc2-8efc-e02bf4b7f0e8","8322e922-3871-46bf-a73c-2fc4985876ba","Bag09",21:32:00,17.8,"Water",18,"f955b55c-6c9f-4eb5-a39d-01cd8d077064"
"18","2d0823da-ff06-4ce6-b66c-0d8259e806fd","8322e922-3871-46bf-a73c-2fc4985876ba","Bag15",21:37:00,17.6,"Water",17.8,"462bb5df-49ec-4f8f-b71b-018ae889990f"
"19","89731d0e-02c0-457f-8861-dfa90a3914b6","8322e922-3871-46bf-a73c-2fc4985876ba","Bag21",21:40:00,17.5,"Leaf litter",17.5,"8133ece0-929d-492c-b59e-ac1a2355249d"
"20","8ced5f6b-298e-4629-8a31-a2d8fa3612ac","8322e922-3871-46bf-a73c-2fc4985876ba","Bag22",21:45:00,17.7,"Water",17.8,"f138bbc6-2cc3-42e1-93c4-b6cd184421e4"
"21","3eaf48b5-1e48-46e3-b22d-1976ff580cfe","8322e922-3871-46bf-a73c-2fc4985876ba","Bag23",21:48:00,17.9,"Water",18.1,"9bd35ea5-5f93-434e-95d3-fedb4b2de9af"
"22","d558ad5e-9fde-4f34-8915-b02622fcd442","8322e922-3871-46bf-a73c-2fc4985876ba","Bag24",21:52:00,18.2,"Water",18.3,"38e098c0-83bc-42ea-a36e-bc6ca0483635"
"23","58747ee2-ee85-4244-9c3a-573a226aac86","8322e922-3871-46bf-a73c-2fc4985876ba","Bag25",21:55:00,18.2,"Water",18.3,"d450b197-3752-4f8b-8026-3aca8cb36265"
"24","7928e204-2d85-4f37-a7b2-da2caca2807e","8322e922-3871-46bf-a73c-2fc4985876ba","Bag26",22:03:00,18.4,"Water",18.5,"0f46e8b4-5a64-4e70-8232-e9647f779f4b"
"25","3b989a29-8ab1-4a2a-9da6-127ad507d60b","8322e922-3871-46bf-a73c-2fc4985876ba","Bag13",22:21:00,17.9,"Emergent Vegetation (Higher than 1m)",18.2,"de81c5b4-c9bf-4a1a-ae55-15c4db82d6cd"
"26","3cb47eb5-926b-403c-b381-2b2a7e69cdda","8322e922-3871-46bf-a73c-2fc4985876ba","Bag12",22:24:00,18.2,"Water",18.3,"8d509db0-4b45-48d4-a664-943d4afed5ff"
"27","386dc799-c3b5-49b8-ad91-3d4b481fd66a","8322e922-3871-46bf-a73c-2fc4985876ba","Bag03",22:31:00,18.1,"Water",18.5,"9cde3f6c-e658-4ff4-be0e-7656848fa7f3"
"28","bbbed750-08db-46f5-a7dd-87bbcd3060e4","8322e922-3871-46bf-a73c-2fc4985876ba","Bag11",22:34:00,18.1,"Water",18.4,"7cd806d3-a84e-4eb5-9e9b-7ae234daed04"
"29","804617a7-c683-4e1d-bcc1-183bfd1b280d","8322e922-3871-46bf-a73c-2fc4985876ba","Bag20",22:37:00,18,"Water",18.1,"e739fd67-a95e-484a-80ff-d624c0ba94de"
"30","5d5f5305-fffc-4954-a1db-8cc032081e1b","8322e922-3871-46bf-a73c-2fc4985876ba","Bag14",22:41:00,17.7,"Emergent Vegetation (Lower than 1m)",17.7,"ba71afdd-85ad-4528-92da-f812c671fe68"
"31","2e5fec3c-8585-49fb-bf39-53c4a6749f2a","9cc76039-e43a-4d91-b910-b95a3f0088f0","Bag30",13:36:00,NA,"Leaf litter",19.8,"122ae19b-a0c0-4164-a388-9c642fca36df"
"32","7c3bf2c5-a624-4425-a069-7b82f62dbf7e","9cc76039-e43a-4d91-b910-b95a3f0088f0","Bag17",13:41:00,NA,"Leaf litter",20,"facd53f6-f05b-4973-b32d-12b2f55431dc"
"33","6293bd30-8d25-4c5a-94d2-a3e9993f2d37","9cc76039-e43a-4d91-b910-b95a3f0088f0","Bag29",13:53:00,NA,"Leaf litter",18.9,"1cb017ee-65aa-48c3-bec8-34f1c6816ee4"
"34","b15bc6da-32aa-4f36-bc35-786d7faf1dba","8322e922-3871-46bf-a73c-2fc4985876ba","Bag02",21:03:00,19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639"
"35","3c08cbb3-c284-4bb3-a304-823d04af0a6e","8322e922-3871-46bf-a73c-2fc4985876ba","Bag01",21:09:00,18.3,"Tree/Log/Bush (Lower than 1m)",17.5,"67a45464-e3d2-4e15-b70e-716dda775401"
"36","125258d2-62db-489a-b4f9-3b36698d3404","8322e922-3871-46bf-a73c-2fc4985876ba","Bag04",21:12:00,18,"Water",17.9,"68778835-4137-4a3a-8300-3fdcfbca25a7"
"37","2a4da878-de3a-410f-b518-0b936bc98a54","8322e922-3871-46bf-a73c-2fc4985876ba","Bag07",21:17:00,18.2,"Water",18.2,"749377f6-be1b-41b1-855f-17048f501de4"
"38","70f2f7d5-d0a0-42c8-b3f3-87251b50c5aa","8322e922-3871-46bf-a73c-2fc4985876ba","Bag10",21:21:00,18.2,"Water",18.3,"aa20fbe1-d1d2-4a84-a8cb-921132a752d0"
"39","47d44b03-88c2-4204-86c3-def426b50633","8322e922-3871-46bf-a73c-2fc4985876ba","Bag08",21:25:00,18.1,"Water",18,"c01ce459-70f0-42ce-8202-034604010ce0"
"40","492083bf-770d-4ada-85d7-9da13a21d361","8322e922-3871-46bf-a73c-2fc4985876ba","Bag05",21:28:00,18.3,"Water",18.3,"3d702528-f451-4c1d-88e5-2f8c87a918ac"
"41","7fce6149-2af8-4bc2-8efc-e02bf4b7f0e8","8322e922-3871-46bf-a73c-2fc4985876ba","Bag09",21:32:00,17.8,"Water",18,"f955b55c-6c9f-4eb5-a39d-01cd8d077064"
"42","2d0823da-ff06-4ce6-b66c-0d8259e806fd","8322e922-3871-46bf-a73c-2fc4985876ba","Bag15",21:37:00,17.6,"Water",17.8,"462bb5df-49ec-4f8f-b71b-018ae889990f"
"43","89731d0e-02c0-457f-8861-dfa90a3914b6","8322e922-3871-46bf-a73c-2fc4985876ba","Bag21",21:40:00,17.5,"Leaf litter",17.5,"8133ece0-929d-492c-b59e-ac1a2355249d"
"44","8ced5f6b-298e-4629-8a31-a2d8fa3612ac","8322e922-3871-46bf-a73c-2fc4985876ba","Bag22",21:45:00,17.7,"Water",17.8,"f138bbc6-2cc3-42e1-93c4-b6cd184421e4"
"45","3eaf48b5-1e48-46e3-b22d-1976ff580cfe","8322e922-3871-46bf-a73c-2fc4985876ba","Bag23",21:48:00,17.9,"Water",18.1,"9bd35ea5-5f93-434e-95d3-fedb4b2de9af"
"46","d558ad5e-9fde-4f34-8915-b02622fcd442","8322e922-3871-46bf-a73c-2fc4985876ba","Bag24",21:52:00,18.2,"Water",18.3,"38e098c0-83bc-42ea-a36e-bc6ca0483635"
"47","58747ee2-ee85-4244-9c3a-573a226aac86","8322e922-3871-46bf-a73c-2fc4985876ba","Bag25",21:55:00,18.2,"Water",18.3,"d450b197-3752-4f8b-8026-3aca8cb36265"
"48","7928e204-2d85-4f37-a7b2-da2caca2807e","8322e922-3871-46bf-a73c-2fc4985876ba","Bag26",22:03:00,18.4,"Water",18.5,"0f46e8b4-5a64-4e70-8232-e9647f779f4b"
"49","3b989a29-8ab1-4a2a-9da6-127ad507d60b","8322e922-3871-46bf-a73c-2fc4985876ba","Bag13",22:21:00,17.9,"Emergent Vegetation (Higher than 1m)",18.2,"de81c5b4-c9bf-4a1a-ae55-15c4db82d6cd"
"50","3cb47eb5-926b-403c-b381-2b2a7e69cdda","8322e922-3871-46bf-a73c-2fc4985876ba","Bag12",22:24:00,18.2,"Water",18.3,"8d509db0-4b45-48d4-a664-943d4afed5ff"
"51","386dc799-c3b5-49b8-ad91-3d4b481fd66a","8322e922-3871-46bf-a73c-2fc4985876ba","Bag03",22:31:00,18.1,"Water",18.5,"9cde3f6c-e658-4ff4-be0e-7656848fa7f3"
"52","bbbed750-08db-46f5-a7dd-87bbcd3060e4","8322e922-3871-46bf-a73c-2fc4985876ba","Bag11",22:34:00,18.1,"Water",18.4,"7cd806d3-a84e-4eb5-9e9b-7ae234daed04"
"53","804617a7-c683-4e1d-bcc1-183bfd1b280d","8322e922-3871-46bf-a73c-2fc4985876ba","Bag20",22:37:00,18,"Water",18.1,"e739fd67-a95e-484a-80ff-d624c0ba94de"
"54","5d5f5305-fffc-4954-a1db-8cc032081e1b","8322e922-3871-46bf-a73c-2fc4985876ba","Bag14",22:41:00,17.7,"Emergent Vegetation (Lower than 1m)",17.7,"ba71afdd-85ad-4528-92da-f812c671fe68"
"55","5211a4c3-3834-4452-8064-4b70f9413caf","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag30",21:08:00,18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1"
"56","26fee85c-d4c1-489e-80bd-400907e9534b","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag29",21:11:00,18.2,"Emergent Vegetation (Lower than 1m)",18.2,"e22e0c34-ac7c-4027-a950-4ad84d8a217d"
"57","e24f8aa0-ef58-4e14-ad56-c5122d76c3f9","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag16",21:18:00,18.2,"Tree/Log/Bush (Lower than 1m)",18.2,"16553888-75b0-452d-bf38-885f34809111"
"58","a0a8a4d1-ee01-43f3-a5ba-bc0c37fb1931","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag28",21:34:00,19.4,"Water",19.7,"5e3d058b-9aed-4204-90c0-5f7571358273"
"59","41a9ff8f-9446-4186-8994-874029a00563","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag27",21:43:00,20.1,"Water",20.4,"1f66b20b-3b9a-47e7-b60a-e5e06fa6ee35"
"60","62d9d770-0bb5-4e48-8bae-b86c42d47e44","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag06",21:47:00,18.6,"Wet ground",18.8,"2d6d1f37-af35-430b-bc14-0ce262d44f04"
"61","c13932b5-3ad9-4e60-8ae5-ef7806d0292f","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag18",22:20:00,19.4,"Water",19.6,"c30e398e-e9e5-48ee-a3c9-df9117df7392"
"62","a4b82347-03be-4db8-bdcb-20fa412048c5","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag19",22:40:00,19.4,"Water",19.7,"6daf3070-03b7-4593-af5e-07f9f6bb00de"
"63","238e379f-ab25-4539-9e29-23c1803035f7","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag17",22:57:00,18.4,"Water",18.6,"8987abb6-ea9b-4d42-b33c-60e76136dfc6"
"64","a4d1c83c-3796-4b3c-87b4-7651edee34c9","4d89d571-5852-48bd-b8a8-0478c7febd38","Bag05",13:30:00,NA,"Dry ground",21.7,"128284c5-81c5-40ed-9a12-ace05ca82699"
"65","e9f3c456-f9cf-4634-b9c4-9f51feaa84d5","4d89d571-5852-48bd-b8a8-0478c7febd38","Bag01",14:15:00,23.4,"Dry ground",24,"dfd0b36e-2b5f-488a-943b-e34f4d3a4cd5"
"66","aaf393d6-73f1-4049-8a88-0b4e48cb65c4","4d89d571-5852-48bd-b8a8-0478c7febd38","Bag02",14:18:00,22.4,"Dry ground",23,"24688656-d5bb-40e1-825d-703cdb5bc6d9"
"67","02783805-8d2b-49a5-aeec-ca82519a7c9e","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG41",21:46:00,18.3,"Water",17.8,"72a67133-19fb-4034-8502-051d82db9804"
"68","fe10b8fd-f984-4b24-8a3d-3f827c224db6","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG37",21:53:00,18,"Water",18.2,"017f12bf-d25c-4b19-9b2b-b106c2c4f168"
"69","530f9256-bec0-4fe1-b36c-80e53343921d","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG49",21:59:00,18.1,"Water",17.9,"487486e7-9ea9-485d-8bf4-37956d444c74"
"70","9c827f3e-f4c8-459b-8b2b-e38b9ee92bda","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG38",22:30:00,17.5,"Water",17.2,"db001d9d-bb2e-40c1-8906-0ce303158a02"
"71","b62ef0df-3ba0-43b1-be9a-fb2882a51a27","c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","BAG42",22:56:00,17.8,"Water",18.4,"36838d72-a997-41c4-9343-54b2c74cce48,3857a8d3-8327-4834-af84-742fe67f1202"
"72","7e4616a3-8a66-49ca-a4bf-0427ee739384","7a980dea-bf83-4def-9194-10c335ae3832","BAG31",21:28:00,20.1,"Water",20.1,"54878197-6d26-4ef5-b537-84620719a47a"
"73","005bd1eb-65de-44d3-bb32-7c6ad2d914ac","7a980dea-bf83-4def-9194-10c335ae3832","BAG32",21:35:00,20.1,"Water",19.9,"7361b8be-33ca-49db-ba18-9524ac91846e"
"74","7aa9e2bb-d0dd-4fd9-947d-53d4bb39867a","7a980dea-bf83-4def-9194-10c335ae3832","BAG33",21:45:00,19.9,"Water",19.8,"21a6f803-6a69-4c70-a538-059a88cfe143"
"75","780c0d9a-acc5-417e-8215-503d0d6142f0","7a980dea-bf83-4def-9194-10c335ae3832","BAG35",21:52:00,19.8,"Water",19.8,"77ef2799-4b2c-4e29-992a-a806e7969581"
