"","fulcrum_id","location","species","capture_date","cmr_id","cmr_id_other"
"55","2ba9fae2-7489-4889-949d-7169c7bb974e","Admin Pond",NA,2022-05-19,"A4C4",NA
"56","872ccfa8-29df-44e6-b4a4-49f6bd83a3f6","Admin Pond",NA,2022-05-19,"B2C4",NA
"57","c41fcf0a-adbf-4d4e-b604-d5887b7f0c77","Admin Pond",NA,2022-05-19,"B2",NA
"58","4bf16a1b-53e3-4bd9-a7f3-5ce95b789758","Admin Pond",NA,2022-05-19,"B3",NA
"59","c66d5bf6-5dd6-484d-9579-057a979982d0","Admin Pond",NA,2022-05-19,"B4",NA
"60","b04f061e-2f17-4b86-971f-620d3a7e7e13","Admin Pond",NA,2022-05-19,"A4",NA
"61","93e1c849-e5cf-4f64-b376-5c6879db98e0","Admin Pond",NA,2022-05-19,"A4",NA
"62","b524ad08-f189-4809-ad1c-4a185c022236","Admin Pond",NA,2022-05-19,"B2",NA
"63","1a7147a3-ba34-4098-b308-aba3ae980dbf","Admin Pond",NA,2022-05-19,"B3",NA
"64","a0841d0b-1197-4fef-beaf-e14eb80f4fcd","Admin Pond","Rana catesbeiana",2022-05-19,"A2A3",NA
"65","c1dcc31c-87eb-4537-9470-356e318b9b19","Admin Pond",NA,2022-05-19,"A2",NA
"66","f060d7d9-b62f-4ae9-8d65-cf524a94a307","Admin Pond",NA,2022-05-19,"A4",NA
"67","903d8341-b574-404e-8659-6a7323041bbe","Admin Pond",NA,2022-05-19,NA,"A1A2"
"68","357f2934-a97e-420d-9340-df83654030c3","Admin Pond",NA,2022-05-19,"B2",NA
"69","8587650d-e715-469e-bec9-3c1727c51ca1","Admin Pond",NA,2022-05-19,"A3B2",NA
"70","63928a8b-bc3f-43eb-912a-c0eaf88444d2","Admin Pond",NA,2022-05-19,NA,"B1B2"
"71","71643ec1-cc76-4ccd-b969-09f38eda3867","Admin Pond",NA,2022-05-19,"A3B2",NA
"72","2765fa30-d94c-4fcb-9343-55b9133d6ebc","Admin Pond",NA,2022-05-19,"A4",NA
"73","0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342","Admin Pond",NA,2022-05-19,"A2",NA
"74","85800845-46bf-4672-970d-8c960dd9777c","Admin Pond",NA,2022-05-19,"A3",NA
"75","28fa1e78-cc91-4a23-8705-340e7a38a0dd","Admin Pond",NA,2022-05-19,"A4",NA
"76","884e45e1-bee9-4794-9894-0b32ddd3b264","Admin Pond","Pseudacris crucifer",2022-05-19,"B4",NA
"77","f4a81427-24ba-464d-911a-e6b1eccf14b4","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A2",NA
"78","70fb0551-610d-46ad-ae59-33bffa0a7d14","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A2",NA
