"","X","fulcrum_id","created_at","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo","species"
"24",24,"7928e204-2d85-4f37-a7b2-da2caca2807e","2022-05-20 02:03:27 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag26","22:03:00",18.4,"Water",18.5,"0f46e8b4-5a64-4e70-8232-e9647f779f4b",NA
"25",25,"3b989a29-8ab1-4a2a-9da6-127ad507d60b","2022-05-20 02:21:49 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag13","22:21:00",17.9,"Emergent Vegetation (Higher than 1m)",18.2,"de81c5b4-c9bf-4a1a-ae55-15c4db82d6cd",NA
"26",26,"3cb47eb5-926b-403c-b381-2b2a7e69cdda","2022-05-20 02:24:59 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag12","22:24:00",18.2,"Water",18.3,"8d509db0-4b45-48d4-a664-943d4afed5ff",NA
"27",27,"386dc799-c3b5-49b8-ad91-3d4b481fd66a","2022-05-20 02:31:10 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag03","22:31:00",18.1,"Water",18.5,"9cde3f6c-e658-4ff4-be0e-7656848fa7f3",NA
"28",28,"bbbed750-08db-46f5-a7dd-87bbcd3060e4","2022-05-20 02:34:07 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag11","22:34:00",18.1,"Water",18.4,"7cd806d3-a84e-4eb5-9e9b-7ae234daed04",NA
"29",29,"804617a7-c683-4e1d-bcc1-183bfd1b280d","2022-05-20 02:37:55 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag20","22:37:00",18,"Water",18.1,"e739fd67-a95e-484a-80ff-d624c0ba94de",NA
"30",30,"5d5f5305-fffc-4954-a1db-8cc032081e1b","2022-05-20 02:41:46 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag14","22:41:00",17.7,"Emergent Vegetation (Lower than 1m)",17.7,"ba71afdd-85ad-4528-92da-f812c671fe68",NA
"31",31,"2e5fec3c-8585-49fb-bf39-53c4a6749f2a","2022-05-20 17:36:35 UTC","9cc76039-e43a-4d91-b910-b95a3f0088f0","Bag30","13:36:00",NA,"Leaf litter",19.8,"122ae19b-a0c0-4164-a388-9c642fca36df",NA
"32",32,"7c3bf2c5-a624-4425-a069-7b82f62dbf7e","2022-05-20 17:41:44 UTC","9cc76039-e43a-4d91-b910-b95a3f0088f0","Bag17","13:41:00",NA,"Leaf litter",20,"facd53f6-f05b-4973-b32d-12b2f55431dc",NA
"33",33,"6293bd30-8d25-4c5a-94d2-a3e9993f2d37","2022-05-20 17:53:39 UTC","9cc76039-e43a-4d91-b910-b95a3f0088f0","Bag29","13:53:00",NA,"Leaf litter",18.9,"1cb017ee-65aa-48c3-bec8-34f1c6816ee4",NA
