"","X","fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"58",58,"4bf16a1b-53e3-4bd9-a7f3-5ce95b789758","2022-05-20 05:34:59 UTC","Admin Pond",NA,"2022-05-19","B3",NA
"59",59,"c66d5bf6-5dd6-484d-9579-057a979982d0","2022-05-20 05:35:32 UTC","Admin Pond",NA,"2022-05-19","B4",NA
"60",60,"b04f061e-2f17-4b86-971f-620d3a7e7e13","2022-05-20 05:38:53 UTC","Admin Pond",NA,"2022-05-19","A4",NA
"61",61,"93e1c849-e5cf-4f64-b376-5c6879db98e0","2022-05-20 05:39:59 UTC","Admin Pond",NA,"2022-05-19","A4",NA
"62",62,"b524ad08-f189-4809-ad1c-4a185c022236","2022-05-20 05:40:29 UTC","Admin Pond",NA,"2022-05-19","B2",NA
"63",63,"1a7147a3-ba34-4098-b308-aba3ae980dbf","2022-05-20 05:41:57 UTC","Admin Pond",NA,"2022-05-19","B3",NA
"64",64,"a0841d0b-1197-4fef-beaf-e14eb80f4fcd","2022-05-20 05:46:53 UTC","Admin Pond","Rana catesbeiana","2022-05-19","A2A3",NA
"65",65,"c1dcc31c-87eb-4537-9470-356e318b9b19","2022-05-20 05:56:47 UTC","Admin Pond",NA,"2022-05-19","A2",NA
"66",66,"f060d7d9-b62f-4ae9-8d65-cf524a94a307","2022-05-20 05:59:44 UTC","Admin Pond",NA,"2022-05-19","A4",NA
"67",67,"903d8341-b574-404e-8659-6a7323041bbe","2022-05-20 06:05:43 UTC","Admin Pond",NA,"2022-05-19",NA,"A1A2"
"68",68,"357f2934-a97e-420d-9340-df83654030c3","2022-05-20 06:11:02 UTC","Admin Pond",NA,"2022-05-19","B2",NA
"69",69,"8587650d-e715-469e-bec9-3c1727c51ca1","2022-05-20 06:13:17 UTC","Admin Pond",NA,"2022-05-19","A3B2",NA
"70",70,"63928a8b-bc3f-43eb-912a-c0eaf88444d2","2022-05-20 06:15:22 UTC","Admin Pond",NA,"2022-05-19",NA,"B1B2"
"71",71,"71643ec1-cc76-4ccd-b969-09f38eda3867","2022-05-20 06:17:40 UTC","Admin Pond",NA,"2022-05-19","A3B2",NA
"72",72,"2765fa30-d94c-4fcb-9343-55b9133d6ebc","2022-05-20 06:19:46 UTC","Admin Pond",NA,"2022-05-19","A4",NA
"73",73,"0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342","2022-05-20 06:22:25 UTC","Admin Pond",NA,"2022-05-19","A2",NA
"74",74,"85800845-46bf-4672-970d-8c960dd9777c","2022-05-20 06:24:59 UTC","Admin Pond",NA,"2022-05-19","A3",NA
"75",75,"28fa1e78-cc91-4a23-8705-340e7a38a0dd","2022-05-20 06:26:42 UTC","Admin Pond",NA,"2022-05-19","A4",NA
"76",76,"884e45e1-bee9-4794-9894-0b32ddd3b264","2022-05-20 18:50:52 UTC","Admin Pond","Pseudacris crucifer","2022-05-19","B4",NA
"77",77,"f4a81427-24ba-464d-911a-e6b1eccf14b4","2022-05-27 04:19:36 UTC","Wood Lab Pond","Rana catesbeiana","2022-05-27","A2",NA
"78",78,"70fb0551-610d-46ad-ae59-33bffa0a7d14","2022-05-27 04:23:01 UTC","Wood Lab Pond","Rana catesbeiana","2022-05-27","A2",NA
"79",79,"a693e329-f871-4247-8d4d-1ca915832a9e","2022-05-27 04:23:32 UTC","Wood Lab Pond","Rana catesbeiana","2022-05-27","A3",NA
"80",80,"f152c6ed-4618-4671-ac72-6f573ea37ece","2022-05-27 04:27:05 UTC","Wood Lab Pond","Rana catesbeiana","2022-05-27","A4",NA
"81",81,"830a9d2b-02c3-47cb-bc5b-985a81fd7b2b","2022-05-27 04:28:41 UTC","Wood Lab Pond","Rana catesbeiana","2022-05-27","B2",NA
