"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","crispr_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature"
"15","c03ba092-406b-430c-bfa6-915c1714eb26","2022-05-06 04:07:55 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Male",NA,60.4,27.5,6.8,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps raca #9",09:46:00,NA,"Emergent Vegetation (Lower than 1m)",14.3
"16","e1685b88-7c49-401f-b317-f7ac53cbd522","2022-05-06 04:13:54 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,73.9,53,8.6,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps racl #10",08:52:00,15.5,"Water",15.5
"17","f7b76a20-3c87-4bcf-98b9-282aef63c0bf","2022-05-06 04:18:30 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,28.8,7.6,6.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps pscr #11; skin tag on throat",09:13:00,12.6,"Emergent Vegetation (Lower than 1m)",12.6
"18","22f279ac-4cca-40d3-bbc2-ad2befb1be2f","2022-05-06 04:26:09 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,28,7.3,6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps pscr #12",09:14:00,12.3,"Emergent Vegetation (Lower than 1m)",12.6
"19","f9394cd0-4ea9-4667-94c0-c79c5631249d","2022-05-06 04:30:47 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,27.2,7.2,6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps pscr #13",08:43:00,13,"Emergent Vegetation (Lower than 1m)",13
"20","e0bd653e-09f4-4922-8e31-7c0d16b59e1e","2022-05-06 04:35:45 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,30.7,7.9,6.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps pscr #14",08:48:00,12.5,"Emergent Vegetation (Lower than 1m)",12.8
"21","64c282ce-8b0b-437c-8265-dd9b567b5c73","2022-05-12 03:05:23 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,24.8,3.5,2.5,1,"2022-05-11-admin-pscr1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-11 admin pscr #1",21:11:00,NA,"Tree/Log/Bush (Lower than 1m)",16.8
"22","bde5161f-9714-404f-a2d1-b6af95f09a13","2022-05-12 03:16:22 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,49.6,15,3.6,11.4,"2022-05-11-admin-raca2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22:45:00,NA,"Water",17.7
"23","5dd5a405-f929-4968-ad9d-a7a5c24c4383","2022-05-12 03:21:37 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,78.2,58,16.5,41.5,"2022-05-11-admin-raca3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22:55:00,17.1,"Water",17.2
"24","2b83d388-4dad-4298-9e53-d196955666a2","2022-05-12 03:27:20 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,29,3.7,2.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:42:00,15.4,"Tree/Log/Bush (Lower than 1m)",16
"25","c4070a21-c863-4dd5-99d9-156d96499be7","2022-05-12 03:31:58 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,26,3.6,2.5,1.1,"2022-05-11-admin-pscr-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:16:00,15.9,"Tree/Log/Bush (Lower than 1m)",16.7
"26","35d09a19-d070-414d-93d4-9e82c8f6f23f","2022-05-12 03:36:15 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,24.4,3.5,NA,NA,"2022-05-11-admin-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:19:00,16.9,"Tree/Log/Bush (Lower than 1m)",16.9
"27","c7f89c9b-f5e7-4865-b240-32a6006b2e03","2022-05-12 03:41:03 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,61.6,23.1,3.7,19.4,"2022-05-11-admin-raca7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22:27:00,18.1,"Water",18.4
"28","87d17a61-fe51-41ee-91bc-a98e49c8541c","2022-05-12 03:56:22 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,54.1,21.5,6.5,15,"2022-05-11-admin-raca8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22:00:00,19.3,"Water",19.1
"29","aad5891c-a4ef-416b-9984-4000b2e4d767","2022-05-12 04:04:02 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,50.9,16.25,5.5,10.75,"2022-05-11-admin-raca9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:19:00,20.1,"Water",19.9
"30","d878feea-b23b-44d3-948b-a45268e2f453","2022-05-12 04:08:34 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,48.1,14,5.25,8.75,"2022-05-11-admin-raca10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22:31:00,18.2,"Water",18.2
"31","cf5871c9-7d44-483c-bedd-29ad2cce36af","2022-05-12 04:14:58 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,50.3,17,6.5,10.5,"2022-05-11-admin-raca11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09:29:00,19.1,"Water",19.7
"32","5654beaa-76ff-4580-baaa-670c3c067cb4","2022-05-12 04:20:56 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,NA,NA,51,17.5,7,10.5,"2022-05-11-admin-raca12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:07:00,19.1,"Water",19.3
"33","0de07350-1ce4-41f9-ae8d-08710ed451b0","2022-05-12 04:25:12 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,50.5,19.5,10,9.5,"2022-05-11-admin-raca12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09:24:00,19.1,"Water",19
"34","cead4c76-df95-4854-a900-2ba73cd9db23","2022-05-12 04:30:27 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,75.4,52,8,44,"2022-05-11-admin-racl14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:21:00,19.4,"Water",19.3
"35","db5eed7c-615e-4cf0-a00a-d4c0d86d02c3","2022-05-12 04:36:17 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,74.7,42,3.5,38.5,"2022-05-11-admin-racl15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22:39:00,18.3,"Water",18.2
"36","232cda0a-e057-49c2-9bea-9267a02e9829","2022-05-12 04:40:07 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,78.5,54,6,48,"2022-05-11-admin-racl16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09:51:00,19.5,"Water",19.6
"37","9aa0d875-4a75-447c-9423-5c98ddcc0183","2022-05-12 04:45:55 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,84,69,6,63,"2022-05-11-admin-racl17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:06:00,NA,"Water",20.8
"38","067c0fe0-8387-4708-ba36-62b261ed2acd","2022-05-12 04:51:48 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,60.9,28,7.1,20.9,"2022-05-11-admin-racl18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:53:00,19,"Water",19.4
"39","b15dba78-b522-41d7-b341-b147dff1d3cb","2022-05-12 04:56:31 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,NA,"toad sp.",NA,NA,NA,"Adult",NA,"Unknown",NA,53.6,19.5,4.25,15.25,"2022-05-11-admin-toad19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:26:00,NA,"Leaf litter",19.1
"40","4307fcd9-69eb-40a3-9d59-1a99b079e1b9","2022-05-13 02:13:13 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Male",NA,83,53,6.7,46.3,"2022-05-12-rv-raca1",NA,NA,"2022-05-12-rv-raca1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:51:00,20.1,"Water",21.7
"41","8308d2c9-efbe-4a12-846c-ac50f9b2b6c7","2022-05-13 02:20:41 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,27.5,4.2,2.7,1.5,"2022-05-12-rv-pscr2",NA,NA,"2022-05-12-rv-pscr2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:01:00,16.2,"Water",17.4
"42","894f2006-f4c3-4def-8512-e2eedb3041af","2022-05-13 02:25:40 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,26.2,3.6,2.4,1.2,"2022-05-12-rv-pscr3",NA,NA,"2022-05-12-rv-pscr3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20:56:00,16.9,"Leaf litter",16.8
"43","c8717165-6bc8-4f5e-ad4c-044e56d0fa8c","2022-05-13 02:30:51 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,27.3,4,2.6,1.4,"2022-05-12-rv-pscr4",NA,NA,"2022-05-12-rv-pscr4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:18:00,15.5,"Dry ground",15.8
"44","4e6d8ccf-01a9-4518-9f6e-df4b144b2ad3","2022-05-13 02:36:05 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,26.5,3.7,2.4,1.3,"2022-05-12-rv-pscr5",NA,NA,"2022-05-12-rv-pscr5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mucus sample was done for 20 minutes.",21:12:00,16.4,"Dry ground",16.3
"45","5a30b134-ea2a-487a-ab74-a41e5d6a739d","2022-05-13 02:41:13 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,25.2,3.4,2.3,1.1,"2022-05-12-rv-pscr6",NA,NA,"2022-05-12-rv-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:05:00,14.4,"Dry ground",14.7
"46","66279d35-bfe6-45e6-8ce5-aeb50e11cf18","2022-05-13 02:45:08 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,27,3.5,2.4,1.1,"2022-05-12-rv-pscr7",NA,NA,"2022-05-12-rv-pscr7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:25:00,14.9,"Tree/Log/Bush (Lower than 1m)",15.9
"47","b0e415eb-9d3b-4aa8-86d2-3d0a886f6a04","2022-05-13 02:49:10 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,26.5,3.5,2.5,1,"2022-05-12-rv-pscr8",NA,NA,"2022-05-12-rv-pscr8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:10:00,15.7,"Leaf litter",15.6
"48","185f02c4-f521-48c2-af1e-20dd6724aaeb","2022-05-13 02:54:04 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,25,3.1,2.3,0.8,"2022-05-12-rv-pscr9",NA,NA,"2022-05-12-rv-pscr9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:17:00,15.6,"Dry ground",15.6
"49","962079e0-cf02-4fd6-b0d2-a3f5076c96b4","2022-05-13 02:58:43 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,25.3,3.4,2.4,1,"2022-05-12-rv-pscr10",NA,NA,"2022-05-12-rv-pscr10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:22:00,15.3,"Dry ground",15.4
