"","fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"1","dff652e3-3d5a-4f8e-9ac3-825f7a3b0727","2022-05-18 23:21:04 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"2","a28a0a3f-9ded-4d9e-a94b-e193f55322b7","2022-05-19 03:38:45 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"3","b8dab5e4-b042-46a0-8915-b4a2b5a7cc0b","2022-05-19 06:55:19 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3",NA
"4","d57d7e3a-13e8-420b-8225-605cdd83c87c","2022-05-19 07:03:56 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A4",NA
"5","dd43bef5-85d3-4ccc-b614-4a86ce80b0c4","2022-05-19 07:09:20 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B2B3",NA
"6","2ff33a28-b8b2-4bbe-9e47-b6e9e398ec10","2022-05-19 07:14:44 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B2",NA
"7","49e58964-2321-4f44-b73c-e5175ae1b952","2022-05-19 07:16:57 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B3",NA
"8","30dd0083-d964-449f-826c-06be424e5dcc","2022-05-19 07:20:37 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B4",NA
"9","f45dd78d-7a41-453a-8e4d-9026756900cc","2022-05-19 07:23:16 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2A3",NA
"10","f5e9f600-3eac-4b65-9857-f80710fc8c49","2022-05-19 07:25:48 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2A4",NA
"11","e3a5765a-8785-4564-bd2a-129ecb7e7dc2","2022-05-19 07:29:38 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3A4",NA
"12","12eeb9b5-5aee-49c2-8d99-42b48c982ad5","2022-05-19 07:33:20 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2B2",NA
"13","fe0cc5f7-d57b-4b63-b95b-d0fd4bb44855","2022-05-19 07:36:05 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2B3",NA
"14","fc52842b-d6d4-4f9b-8d57-8dfa8742b200","2022-05-19 07:41:15 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2B4",NA
"15","a768ee4f-560b-4bd6-b6a3-45fe6c52ffaf","2022-05-19 07:45:22 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3B2",NA
"16","93ed65c4-470f-41b4-86a3-ef532595a753","2022-05-19 07:48:23 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3B3",NA
"17","de26eb8e-30ac-4926-aee6-a5656cb005a0","2022-05-19 07:52:01 UTC","Admin Pond","Rana pipiens",2022-05-18,"A3",NA
"18","ef78ee09-4888-406e-ad3c-0692ea9c6ca5","2022-05-19 07:54:52 UTC","Admin Pond","Rana pipiens",2022-05-18,"A2",NA
