"","X","fulcrum_id","created_at","observer","observer_other","date","location","start_time","end_time"
"1",1,"8ef7dd22-e2d7-4452-b1c6-a928de38c95b","2022-05-27 00:52:21 UTC","Brandon Hoenig",NA,"2022-05-26","Wood Lab Pond","20:52:00","20:55:00"
"2",2,"35f6ccd7-8a1a-4e7b-b275-30186f67c67c","2022-05-28 00:36:58 UTC","Brandon Hoenig",NA,"2022-05-27","Wood Lab Pond","20:37:00","20:40:00"
"3",3,"814e9e84-a643-4d9b-8932-8883b1b89977","2022-06-04 00:44:19 UTC","Brandon Hoenig",NA,"2022-06-03","Phelps Pond","20:44:00","20:47:00"
