"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments"
"14","484d8ef9-2f71-4b70-953d-9d0ee91b89ef","2022-06-09 02:08:53 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG04","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,42.4,9.5,4.3,5.2,"BdSwab000083","BacSwab00083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","b31fdc78-08fa-48c1-8661-a0a0cc635deb","2022-06-09 02:13:29 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG22","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,48.8,12,4,8,"BdSwab000084","BacSwab00084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","8c5c96a1-fda3-43c4-a0e6-243424f29d08","2022-06-09 02:15:21 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG28","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,43.6,9.5,4,5.5,"BdSwab000085","BacSwab00085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","650cd782-9201-47bb-8d91-13530b47139c","2022-06-09 02:18:42 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG29","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,43.8,11,3.7,7.3,"BdSwab000086","BacSwab00086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","09aee35b-9330-43c4-b943-a0ec3237d234","2022-06-09 02:21:09 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG12","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,46,11.25,3.4,7.85,"BdSwab000087","BacSwab00087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ce9b6342-1054-4ebb-ac09-506aea695640","2022-06-09 02:24:44 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG11","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,70.6,49,6.8,42.2,"BdSwab000088","BacSwab00088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2f55cc7c-975b-458f-8f89-78e9ab53ef97","2022-06-09 02:37:35 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG10","Rana catesbeiana",NA,"Recapture",NA,"12998a52-91b8-4c54-8d8d-d60450f528de","Adult",NA,"Female",NA,119.5,200,0,200,"BdSwab000067","BacSwab00067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","584900dc-67d1-4ec7-bd17-7737f0edbc7d","2022-06-09 02:39:14 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG27","Rana catesbeiana",NA,"New",NA,"f0893cf2-7b55-474a-8133-dcfbeb1b96c1","Adult",NA,"Female",NA,78.1,60,5.3,54.7,"BdSwab00089","BacSwab00089","MucBath00028","AMPBath00028",NA,NA,NA,"AntiBod00028",NA,NA,NA,"ToeClip00020",NA
"22","c8238a42-4ed1-4119-b295-996a7188f3e7","2022-06-09 02:43:12 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG01","Rana catesbeiana",NA,"New",NA,"a024fdc7-9e5e-4130-b016-74b049b6d97b","Adult",NA,"Female",NA,73.3,55,5.9,49.1,"BdSwab000090","BacSwab00090","MucBath00029","AMPBath00029",NA,NA,NA,"AntiBod00029",NA,NA,NA,"ToeClip00021",NA
"23","811d9f45-6904-42e1-8581-2ccaa8e9b03b","2022-06-09 02:46:45 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG26","Rana catesbeiana",NA,"New",NA,"10c5d7f5-b4eb-4fc9-9131-5e88c0756197","Adult",NA,"Female",NA,84.5,63,5.1,57.9,"BdSwab000091","BacSwab00091","MucBath00030","AMPBath00030",NA,NA,NA,"AntiBod00030",NA,NA,NA,"ToeClip00022",NA
