"fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"df3838e6-814c-4c39-92f5-483b75950e99","2022-05-04 17:20:17 UTC",NA,NA,2022-05-04,NA,NA
"09ac9d5e-d6f3-40ef-90fc-415c42b79035","2022-05-04 17:29:07 UTC",NA,NA,2022-05-04,NA,NA
"63f99fee-b084-4156-94cc-d1bc21ca8f84","2022-05-04 17:37:31 UTC",NA,NA,2022-05-04,NA,NA
"bcbe47cf-4258-4fea-8262-d40875463aed","2022-05-04 17:38:23 UTC",NA,NA,2022-05-04,NA,NA
"c1dbb01a-7812-4964-b4cb-3c37559f62ee","2022-05-04 17:38:58 UTC",NA,NA,2022-05-04,NA,NA
"acce3415-fa63-47c9-a110-ffd9c4a5b1a4","2022-05-04 17:40:43 UTC",NA,NA,2022-05-04,NA,NA
"caf3adf6-31e6-44fe-a658-f417350dd810","2022-05-04 17:41:20 UTC",NA,NA,2022-05-04,NA,NA
"9c68adc1-45dc-4600-99cf-96a5728b6e8e","2022-05-04 19:35:28 UTC",NA,NA,2022-05-04,NA,NA
"78690712-b6ca-449e-b056-8b7cced70efc","2022-05-05 17:02:56 UTC",NA,NA,2022-05-05,NA,NA
"9278a4a4-7e7e-4b2c-925b-8fe6459369e4","2022-05-18 23:16:38 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"79bcecb9-febd-4a36-af00-ca03aa68504d","2022-05-18 23:17:20 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"dff652e3-3d5a-4f8e-9ac3-825f7a3b0727","2022-05-18 23:21:04 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"a28a0a3f-9ded-4d9e-a94b-e193f55322b7","2022-05-19 03:38:45 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"b8dab5e4-b042-46a0-8915-b4a2b5a7cc0b","2022-05-19 06:55:19 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3",NA
"d57d7e3a-13e8-420b-8225-605cdd83c87c","2022-05-19 07:03:56 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A4",NA
"dd43bef5-85d3-4ccc-b614-4a86ce80b0c4","2022-05-19 07:09:20 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B2B3",NA
"2ff33a28-b8b2-4bbe-9e47-b6e9e398ec10","2022-05-19 07:14:44 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B2",NA
"49e58964-2321-4f44-b73c-e5175ae1b952","2022-05-19 07:16:57 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B3",NA
"30dd0083-d964-449f-826c-06be424e5dcc","2022-05-19 07:20:37 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"B4",NA
"f45dd78d-7a41-453a-8e4d-9026756900cc","2022-05-19 07:23:16 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2A3",NA
"f5e9f600-3eac-4b65-9857-f80710fc8c49","2022-05-19 07:25:48 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2A4",NA
"e3a5765a-8785-4564-bd2a-129ecb7e7dc2","2022-05-19 07:29:38 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3A4",NA
"12eeb9b5-5aee-49c2-8d99-42b48c982ad5","2022-05-19 07:33:20 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2B2",NA
"fe0cc5f7-d57b-4b63-b95b-d0fd4bb44855","2022-05-19 07:36:05 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2B3",NA
"fc52842b-d6d4-4f9b-8d57-8dfa8742b200","2022-05-19 07:41:15 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A2B4",NA
"a768ee4f-560b-4bd6-b6a3-45fe6c52ffaf","2022-05-19 07:45:22 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3B2",NA
"93ed65c4-470f-41b4-86a3-ef532595a753","2022-05-19 07:48:23 UTC","Admin Pond","Rana catesbeiana",2022-05-18,"A3B3",NA
"de26eb8e-30ac-4926-aee6-a5656cb005a0","2022-05-19 07:52:01 UTC","Admin Pond","Rana pipiens",2022-05-18,"A3",NA
"ef78ee09-4888-406e-ad3c-0692ea9c6ca5","2022-05-19 07:54:52 UTC","Admin Pond","Rana pipiens",2022-05-18,"A2",NA
"60aa8635-cc0d-4275-9049-f74cd2be6ea4","2022-05-19 07:57:42 UTC","Admin Pond","Rana pipiens",2022-05-18,"A4",NA
"ab365a83-e2b4-420f-98a7-094e84c0683a","2022-05-19 07:59:36 UTC","Admin Pond","Pseudacris crucifer",2022-05-18,"A2",NA
"fcc88102-313d-4cad-a6cf-4082fb8b8c49","2022-05-19 08:02:23 UTC","Admin Pond","Pseudacris crucifer",2022-05-18,"A3",NA
"2eb1d0b4-9396-4257-9b86-6ec4556a6c3e","2022-05-20 04:38:58 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A2A4",NA
"ecf4f86d-c80d-4dca-8844-8415f8720a60","2022-05-20 04:48:15 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A3B4",NA
"ce63171b-8e98-40fe-a62f-9561391bb8a4","2022-05-20 04:52:01 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A4B2",NA
"43d7f751-26b8-4ff2-9d67-0ca3ed089e4b","2022-05-20 04:54:46 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A4B3",NA
"faf211aa-8c29-4516-b4a2-b4c430a26029","2022-05-20 04:58:04 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A4B4",NA
"9223dad1-06dd-4544-8f6c-c1097c404dcd","2022-05-20 05:00:51 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"B2B4",NA
"77e70f11-73df-48ae-a528-7f6aa000eac9","2022-05-20 05:11:30 UTC","Admin Pond",NA,2022-05-19,"B3B4",NA
"cd015c34-b17f-45de-bebc-972aff09cf68","2022-05-20 05:13:41 UTC","Admin Pond",NA,2022-05-19,"A2C4",NA
"0ece465b-c22f-44ad-a2b3-60b66810106f","2022-05-20 05:19:39 UTC","Admin Pond",NA,2022-05-19,"A3C4",NA
"2ba9fae2-7489-4889-949d-7169c7bb974e","2022-05-20 05:24:18 UTC","Admin Pond",NA,2022-05-19,"A4C4",NA
"872ccfa8-29df-44e6-b4a4-49f6bd83a3f6","2022-05-20 05:28:16 UTC","Admin Pond",NA,2022-05-19,"B2C4",NA
"c41fcf0a-adbf-4d4e-b604-d5887b7f0c77","2022-05-20 05:32:45 UTC","Admin Pond",NA,2022-05-19,"B2",NA
"4bf16a1b-53e3-4bd9-a7f3-5ce95b789758","2022-05-20 05:34:59 UTC","Admin Pond",NA,2022-05-19,"B3",NA
"c66d5bf6-5dd6-484d-9579-057a979982d0","2022-05-20 05:35:32 UTC","Admin Pond",NA,2022-05-19,"B4",NA
"b04f061e-2f17-4b86-971f-620d3a7e7e13","2022-05-20 05:38:53 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"93e1c849-e5cf-4f64-b376-5c6879db98e0","2022-05-20 05:39:59 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"b524ad08-f189-4809-ad1c-4a185c022236","2022-05-20 05:40:29 UTC","Admin Pond",NA,2022-05-19,"B2",NA
"1a7147a3-ba34-4098-b308-aba3ae980dbf","2022-05-20 05:41:57 UTC","Admin Pond",NA,2022-05-19,"B3",NA
"a0841d0b-1197-4fef-beaf-e14eb80f4fcd","2022-05-20 05:46:53 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A2A3",NA
"c1dcc31c-87eb-4537-9470-356e318b9b19","2022-05-20 05:56:47 UTC","Admin Pond",NA,2022-05-19,"A2",NA
"f060d7d9-b62f-4ae9-8d65-cf524a94a307","2022-05-20 05:59:44 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"903d8341-b574-404e-8659-6a7323041bbe","2022-05-20 06:05:43 UTC","Admin Pond",NA,2022-05-19,NA,"A1A2"
"357f2934-a97e-420d-9340-df83654030c3","2022-05-20 06:11:02 UTC","Admin Pond",NA,2022-05-19,"B2",NA
"8587650d-e715-469e-bec9-3c1727c51ca1","2022-05-20 06:13:17 UTC","Admin Pond",NA,2022-05-19,"A3B2",NA
"63928a8b-bc3f-43eb-912a-c0eaf88444d2","2022-05-20 06:15:22 UTC","Admin Pond",NA,2022-05-19,NA,"B1B2"
"71643ec1-cc76-4ccd-b969-09f38eda3867","2022-05-20 06:17:40 UTC","Admin Pond",NA,2022-05-19,"A3B2",NA
"2765fa30-d94c-4fcb-9343-55b9133d6ebc","2022-05-20 06:19:46 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342","2022-05-20 06:22:25 UTC","Admin Pond",NA,2022-05-19,"A2",NA
"85800845-46bf-4672-970d-8c960dd9777c","2022-05-20 06:24:59 UTC","Admin Pond",NA,2022-05-19,"A3",NA
"28fa1e78-cc91-4a23-8705-340e7a38a0dd","2022-05-20 06:26:42 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"884e45e1-bee9-4794-9894-0b32ddd3b264","2022-05-20 18:50:52 UTC","Admin Pond","Pseudacris crucifer",2022-05-19,"B4",NA
"f4a81427-24ba-464d-911a-e6b1eccf14b4","2022-05-27 04:19:36 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A2",NA
"70fb0551-610d-46ad-ae59-33bffa0a7d14","2022-05-27 04:23:01 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A2",NA
"a693e329-f871-4247-8d4d-1ca915832a9e","2022-05-27 04:23:32 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A3",NA
"f152c6ed-4618-4671-ac72-6f573ea37ece","2022-05-27 04:27:05 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A4",NA
"830a9d2b-02c3-47cb-bc5b-985a81fd7b2b","2022-05-27 04:28:41 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"B2",NA
"776a8e42-c8ed-4e33-936a-d7084502e091","2022-05-28 03:05:14 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"B3",NA
"78c44912-ca51-4143-a400-92b454e64146","2022-06-04 03:12:00 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A2",NA
"03085e1c-a035-447f-9bfd-142d59db522d","2022-06-04 03:15:23 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A3",NA
"74b4226a-b0fb-492b-bbea-12c03ed0611f","2022-06-04 03:46:59 UTC","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A4",NA
"c80eee86-7743-4003-8dbe-55542e84c9fc","2022-06-05 03:07:43 UTC","Phelps Pond","Rana catesbeiana",2022-06-04,"B2",NA
"bc8c8f0f-3fc0-4238-b262-9dc62c8728cd","2022-06-05 03:12:20 UTC","Phelps Pond","Rana catesbeiana",2022-06-04,"B3",NA
"55e279cf-b8f9-4627-b306-3ef2094af252","2022-06-05 03:14:08 UTC","Phelps Pond","Rana catesbeiana",2022-06-04,"B4",NA
